ID,Code,Text,Role,Gender
ID1,Classroom Environment,"an accelerated program for our MISTER's. So they're going to go through professional development training with second and third grade teachers. As a result of the training that they are going to be exposed to then they will co-teach, in a loose sense of the word, with teachers who will go through the training. They will be in the classrooms with second graders while the third graders are taking what we call third grade gate, that third grade test that they must pass in order to be promoted.",Administrator,man
ID1,Clinical Work or Student Teaching,"Our MISTER's mentor those students. They also mentor students at the middle school. They will ultimately learn to mentor high school students because that's a part of the goal. It involves mentoring for our MISTER's. It involves exposure. So the traditional teacher ed program the students participate in community service. They participate in the traditional, I guess, situations. We try for the nontraditional. So given that, our MISTER's go to schools. They don't go to just observe. They go and they participate in community service at those schools. They serve as mentors, book buddies, they do ties for tots, different things. So they're gathering a better understanding of the students that will be in their classrooms when they graduate and take on that role as teacher. So we have summer activities that they participate in. We take them places to just make them consciously aware of things. We have the Clemson.",Administrator,man
ID1,Clinical Work or Student Teaching,"So the whole MISTER program is founded on brotherhood. So the five MISTER's each year, there's a cohort of five that's inducted into the program. Now we have 15. So they're understanding what brotherhood looks like because they're able to see their mentors mentor them. They're able to go to Clemson and see their graduate MISTER's mentor them and then the mentors who are here prepare them for what do they do when they're working with those babies. We also have literacy specialists who come and work with the MISTER's because we want them to address the academic needs of the babies they're working with. We want them to address the social and emotional needs of the babies that they're working with. So a part of that whole big networking system that we have we have a program of trainers who come to help them talk about the social things that the babies go through, the young males, well because they're both males and females in the program. With our S.T.A.R.S. program it's designed for single moms with sons but if a mother qualifies and has a girl then we allow the girl to come onboard. So that's the premise of the MISTER program. It's all about mentoring. It's all about being aware, of being compassionate, having the capacity to address the needs of all of those students that you'll come in contact with as a teacher. We do that from beginning to end. We're even starting this summer we have a national dropout prevention program. It's an accelerated program for our MISTER's. So they're going to go through professional development training with second and third grade teachers. As a result of the training that they are going to be exposed to then they will co-teach, in a loose sense of the word, with teachers who will go through the training. They will be in the classrooms with second graders while the third graders are taking what we call third grade gate, that third grade test that they must pass in order to be promoted.",Administrator,man
ID1,Clinical Work or Student Teaching,the MISTER's will go through that training with the teachers. Even if they didn't do anything but that I think that would just be monumental. But they'll go through the training and then participate with the teachers in that program. So that in essence is what our MISTER's program is all about.,Administrator,man
ID1,Clinical Work or Student Teaching,"we're trying to provide them with, experiences, we provides them with literature, we provide them with case studies, we provide them with those vignettes of what's happening and what's not happening. Again, sometimes the MISTER's don't even realize what's going on. When they're in those classrooms, in the S.T.A.R.S. meeting working with the babies sometimes they don't, well maybe I shouldn't say they don't. Some do and some don't. They don't realize that I am this is call transferal, this is what I've learned and now I'm transferring it to these babies through how I respond to their questions, how I ask them questions, how I even employ my MISTER's to come and discuss with me as I'm working in a group",Administrator,man
ID1,Community Service,"hey participate in community service at those schools. They serve as mentors, book buddies, they do ties for tots, different things. So they're gathering a better understanding of the students that will be in their classrooms when they graduate and take on that role as teacher. So we have summer activities that they participate in. We take them places to just make them consciously aware of things.",Administrator,man
ID1,Job Counseling,"we're trying to provide them with, experiences, we provides them with literature, we provide them with case studies, we provide them with those vignettes of what's happening and what's not happening. Again, sometimes the MISTER's don't even realize what's going on. When they're in those classrooms, in the S.T.A.R.S. meeting working with the babies sometimes they don't, well maybe I shouldn't say they don't. Some do and some don't. They don't realize that I am this is call transferal, this is what I've learned and now I'm transferring it to these babies through how I respond to their questions, how I ask them questions, how I even employ my MISTER's to come and discuss with me as I'm working in a group",Administrator,man
ID1,Mentorship,"So it is the intent and purpose of the Call Me MISTER program to do several things, to first address that need, the need for more young males of color in the classrooms. Also to address just young males of color and everything that they encompass just being young males of color. So the Call Me MISTER program addressing the mentoring. So our MISTER's are mentored by professionals, by community representatives, in schools, in businesses, other agencies. They are mentored but they also serve as mentors to our babies. In the Mississippi Learning Institute we have a program that's called S.T.A.R.S. S.T.A.R.S. is an acronym that stands for Sistas Teaching and Raising Sons. Our MISTER's mentor those sons, those young males of color between the ages of zero, and zero being pregnant mothers come but early age up to 9. I think it's 9 or 12. It varies because if we have a mother who fits the original qualification then if she has an older child then we allow her to bring that child on in as well.",Administrator,man
ID1,Mentorship,"Our MISTER's mentor those students. They also mentor students at the middle school. They will ultimately learn to mentor high school students because that's a part of the goal. It involves mentoring for our MISTER's. It involves exposure. So the traditional teacher ed program the students participate in community service. They participate in the traditional, I guess, situations. We try for the nontraditional. So given that, our MISTER's go to schools. They don't go to just observe. They go and they participate in community service at those schools. They serve as mentors, book buddies, they do ties for tots, different things. So they're gathering a better understanding of the students that will be in their classrooms when they graduate and take on that role as teacher. So we have summer activities that they participate in. We take them places to just make them consciously aware of things. We have the Clemson.",Administrator,man
ID1,Mentorship,"So the whole MISTER program is founded on brotherhood. So the five MISTER's each year, there's a cohort of five that's inducted into the program. Now we have 15. So they're understanding what brotherhood looks like because they're able to see their mentors mentor them. They're able to go to Clemson and see their graduate MISTER's mentor them and then the mentors who are here prepare them for what do they do when they're working with those babies. We also have literacy specialists who come and work with the MISTER's because we want them to address the academic needs of the babies they're working with. We want them to address the social and emotional needs of the babies that they're working with. So a part of that whole big networking system that we have we have a program of trainers who come to help them talk about the social things that the babies go through, the young males, well because they're both males and females in the program. With our S.T.A.R.S. program it's designed for single moms with sons but if a mother qualifies and has a girl then we allow the girl to come onboard. So that's the premise of the MISTER program. It's all about mentoring. It's all about being aware, of being compassionate, having the capacity to address the needs of all of those students that you'll come in contact with as a teacher. We do that from beginning to end. We're even starting this summer we have a national dropout prevention program. It's an accelerated program for our MISTER's. So they're going to go through professional development training with second and third grade teachers. As a result of the training that they are going to be exposed to then they will co-teach, in a loose sense of the word, with teachers who will go through the training. They will be in the classrooms with second graders while the third graders are taking what we call third grade gate, that third grade test that they must pass in order to be promoted.",Administrator,man
