order,actor_ID,code_ID,field_cat,collab_num,gender_cat,border_cat,seek_num,code_quote,code_theme
1,ID33,Collaboration Examples,social science,1,M,border state,0,"Okay. General collaboration means engaging in a conversation, in a dialog, ...",Definition of Collaboration
2,ID33,Personality/Status Conflict,social science,1,M,border state,0,"Then if you're in the weak part of the collaboration, you have to work a li...",Peer-to-Peer
3,ID33,Prior Collaboration Experience,social science,1,M,border state,0,"Well, I mean that's the idea that I normally use when I pursue any collabor...",Academic Trajectory
4,ID33,Prior Collaboration Experience,social science,1,M,border state,0,"At the end of the day, the collaboration is not as symmetrical, or even is ...",Academic Trajectory
5,ID33,Collaboration Examples,social science,1,M,border state,0,"So in comparison to your solo projects or your solo initiatives, what would...",Definition of Collaboration
6,ID33,Collaboration Examples,social science,1,M,border state,0,"How did you meet your Mexican colleagues?
Francisco:
Okay. Well, there are ...",Definition of Collaboration
7,ID33,Personal Relationships,social science,1,M,border state,0, Because I am bilingual I can go and talk to people in the US and in Mexico...,Peer-to-Peer
8,ID33,Personal Relationships,social science,1,M,border state,0,These are examples of a project I'm doing in collaboration with colleagues ...,Peer-to-Peer
9,ID33,Research Interest,social science,1,M,border state,0,"A variety of things. I mean, a variety of things. It's kind of crazy becaus...",Academic Trajectory
10,ID33,Collaboration Examples,social science,1,M,border state,0,"A variety of things. I mean, a variety of things. It's kind of crazy becaus...",Definition of Collaboration
11,ID33,Political/Legal Challenges,social science,1,M,border state,0,"So it's a lot of things that is really exciting, really interesting. Projec...",Challenges
12,ID33,Research Interest,social science,1,M,border state,0,"It's a mix of things. Obviously is your own academic interests, which I mea...",Academic Trajectory
13,ID33,Academic Meeting/Conference,social science,1,M,border state,0,"It's a mix of things. Obviously is your own academic interests, which I mea...",Peer-to-Peer
14,ID33,Institutional Context,social science,1,M,border state,0,"So it's [inaudible 00:13:59], it's institutional. It's sometimes hard to di...",Institutional Context
15,ID33,Collaboration Examples,social science,1,M,border state,0,"It depends on the project. For example, one thing I've been doing in the la...",Definition of Collaboration
16,ID33,Personal Relationships,social science,1,M,border state,0,"Sometimes people don't pay too much attention to you, but you have to insis...",Peer-to-Peer
17,ID33,Institutional Context,social science,1,M,border state,0,"We were competing with all the universities. I mean, ASU is pretty much act...",Institutional Context
18,ID33,Institutional Challenges (Pre),social science,1,M,border state,0,"We were competing with all the universities. I mean, ASU is pretty much act...",Sociocultural and Political Context
19,ID33,Collaboration Outcomes,social science,1,M,border state,0,"You have to go back and talk to them, and convince them, persuade them that...",Definition of Collaboration
20,ID33,Institutional Successes,social science,1,M,border state,0,"You have to go back and talk to them, and convince them, persuade them that...",Institution-to-Institution
21,ID33,Description of Funders,social science,1,M,border state,0,Which other organization? Any other organization from Mexico? I am thinking...,Presence of Funding
22,ID33,Institutional Successes,social science,1,M,border state,0,"We convince Mexican universities, for example, to create a singular paralle...",Institution-to-Institution
23,ID33,Institutional Context,social science,1,M,border state,0,"That's our hope, because for ASU for example, this is an investment. They a...",Institutional Context
24,ID33,Personal Relationships,social science,1,M,border state,0,"Yeah, I mean, it's easier with Mexico because I am Mexican and because I kn...",Peer-to-Peer
25,ID33,Personal Relationships,social science,1,M,border state,0,"So the selection of Mexico comes from your familiarity with the country?
Fr...",Peer-to-Peer
26,ID33,Research Interest,social science,1,M,border state,0,"So the selection of Mexico comes from your familiarity with the country?
Fr...",Academic Trajectory
27,ID33,Institutional Successes,social science,1,M,border state,0,"Actually, when I initiated this idea of the alliance, I was able to develop...",Institution-to-Institution
28,ID33,Institutional Challenges (Pre),social science,1,M,border state,0,"Actually, when I initiated this idea of the alliance, I was able to develop...",Sociocultural and Political Context
29,ID33,Personal Relationships,social science,1,M,border state,0,The language obviously. My knowledge of the Mexican institutional culture. ...,Peer-to-Peer
30,ID33,Institutional Context,social science,1,M,border state,0,The language obviously. My knowledge of the Mexican institutional culture. ...,Institutional Context
31,ID33,Cross-Cultural Understanding,social science,1,M,border state,0,"Well, I think in my case, I mean you can have a bit individual, personal le...",Sociocultural and Political Context
32,ID33,Institutional Challenges (Pre),social science,1,M,border state,0,"Also, I think because ASU is three hours from the border and between is the...",Sociocultural and Political Context
33,ID33,Political/Legal Challenges,social science,1,M,border state,0,"So I believe that in the border, someone may think okay, because their curr...",Challenges
34,ID33,Institutional Context,social science,1,M,border state,0,"In that note, how would you qualify, or how interested or supportive is you...",Institutional Context
35,ID33,Institutional Successes,social science,1,M,border state,0,"In that note, how would you qualify, or how interested or supportive is you...",Institution-to-Institution
36,ID33,Undergraduate Programs,social science,1,M,border state,0,Let's see. I think that we have to work more on that. I normally bring stud...,Student Programs
37,ID33,Institutional Challenges (Pre),social science,1,M,border state,0,Let's see. I think that we have to work more on that. I normally bring stud...,Sociocultural and Political Context
38,ID33,Lack of Interest - USA,social science,1,M,border state,0,Let's see. I think that we have to work more on that. I normally bring stud...,Challenges
39,ID33,Lack of Interest - USA,social science,1,M,border state,0,How about your academics? Are they interested in collaborating with Mexico?...,Challenges
40,ID33,Institutional Context,social science,1,M,border state,0,"May I ask about your department chair? What is his or her perception, or th...",Institutional Context
41,ID33,Institutional Successes,social science,1,M,border state,0,"May I ask about your department chair? What is his or her perception, or th...",Institution-to-Institution
42,ID33,Institutional Challenges (Pre),social science,1,M,border state,0,"In ideal conditions, or if you had the power to change the institutional co...",Sociocultural and Political Context
43,ID33,Institutional Challenges (Pre),social science,1,M,border state,0,"So if I were to change something, I believe that my university will have to...",Sociocultural and Political Context
44,ID33,Institutional Successes,social science,1,M,border state,0,"So if I were to change something, I believe that my university will have to...",Institution-to-Institution
45,ID33,Collaboration Examples,social science,1,M,border state,0,"So if I were to change something, I believe that my university will have to...",Definition of Collaboration
46,ID33,Institutional Challenges (Pre),social science,1,M,border state,0,"For example, when I was trying to develop this alliance, the Arizona-Sonora...",Sociocultural and Political Context
47,ID33,Institutional Successes,social science,1,M,border state,0,"I don't know. It's sort of complicated, but I mean, once you have gone thro...",Institution-to-Institution
48,ID33,Institutional Context,social science,1,M,border state,0,"For example, with my case, I had to learn a lot because I was not engaged i...",Institutional Context
49,ID33,Institutional Challenges (Pre),social science,1,M,border state,0,"Could you be interested, or to what extent you could be interested, in part...",Sociocultural and Political Context
50,ID33,Institutional Challenges (Pre),social science,1,M,border state,0,"For example, this project that I was mentioning, the Arizona-Sonora Interun...",Sociocultural and Political Context
51,ID33,Collaboration Examples,social science,1,M,border state,0,"For example, this project that I was mentioning, the Arizona-Sonora Interun...",Definition of Collaboration
52,ID33,Institutional Challenges (Pre),social science,1,M,border state,0,"Do you know, there is a point in which you realize that what you do as an i...",Sociocultural and Political Context
53,ID33,Institutional Challenges (Pre),social science,1,M,border state,0,"What will be the conditions? State your condition for you to-
Francisco:
As...",Sociocultural and Political Context
54,ID33,Description of Funders,social science,1,M,border state,0,"But I will say that in general, faculty in the US is [inaudible] to collabo...",Presence of Funding
55,ID33,Research Interest,social science,1,M,border state,0,"But I will say that in general, faculty in the US is [inaudible] to collabo...",Academic Trajectory
56,ID33,Research Interest,social science,1,M,border state,0,"There are so many things that really, really need to have this cross-border...",Academic Trajectory
57,ID33,Research Interest,social science,1,M,border state,0,"I mean, it's really common. In this part of the US, it's really, really com...",Academic Trajectory
58,ID33,Lack of Interest - USA,social science,1,M,border state,0,"I mean, it's really common. In this part of the US, it's really, really com...",Challenges
59,ID33,Disciplinary Culture,social science,1,M,border state,0,"I mean, it's really common. In this part of the US, it's really, really com...",Disciplinary
60,ID33,Research Interest,social science,1,M,border state,0,"No, it's a bit more ... I believe that it has been like a propeller of more...",Academic Trajectory
61,ID33,Political/Legal Challenges,social science,1,M,border state,0,"No, it's a bit more ... I believe that it has been like a propeller of more...",Challenges
62,ID33,Collaboration Examples,social science,1,M,border state,0,"I've been involved, for example, in the creation of several networks, schol...",Definition of Collaboration
63,ID33,Prior Collaboration Experience,social science,1,M,border state,0,I think that I am an initiator. I'm not a follower at all. Since I came to ...,Academic Trajectory
64,ID33,Personal Relationships,social science,1,M,border state,0,I think that I am an initiator. I'm not a follower at all. Since I came to ...,Peer-to-Peer
65,ID33,Job Opportunity,social science,1,M,border state,0,"That was crazy. I don't know why. I mean, I never thought that I was going ...",Peer-to-Peer
66,ID33,Job Opportunity,social science,1,M,border state,0,The Arizona State University created a program that is called the Southwest...,Peer-to-Peer
67,ID33,Institutional Context,social science,1,M,border state,0,The Arizona State University created a program that is called the Southwest...,Institutional Context
1,ID8,Institutional Context,humanities,1,M,not border state,1,Well uh in breaststrokes Id say some of my most uh significant collaboratio...,Institutional Context
2,ID8,Institutional Successes,humanities,1,M,not border state,1,in the latest years it has gone in that direction so that is one of the str...,Institution-to-Institution
3,ID8,Personal Relationships,humanities,1,M,not border state,1,"On the other hand, there’s other um collaborations that I’ve had in the pas...",Peer-to-Peer
4,ID8,Advisor,humanities,1,M,not border state,1,I uh came in contact with a professor of mine from college which uh from Me...,Academic Trajectory
5,ID8,Disciplinary Culture,humanities,1,M,not border state,1,"Um well I think, it definitely does affect the the way the collaboration is...",Disciplinary
6,ID8,Personality/Status Conflict,humanities,1,M,not border state,1,Uh but there are uh there is uh I believe an ongoing effort to reach out to...,Peer-to-Peer
7,ID8,Successful Funding,humanities,1,M,not border state,1,"So well uh again, the major way that the United States of Theater Technolog...",Presence of Funding
8,ID8,Institutional Successes,humanities,1,M,not border state,1,"Well as their proximity of course is big thing. Uh uh, the again thinking a...",Institution-to-Institution
9,ID8,Political/Legal Challenges,humanities,1,M,not border state,1,"But I think, there is uh, there is uh, there is an intention given this mom...",Challenges
10,ID8,Political/Legal Challenges,humanities,1,M,not border state,1,"I believe so, I believe at least from the, again, because I’m in a very pri...",Challenges
11,ID8,Political/Legal Challenges,humanities,1,M,not border state,1,Uh on the other hand from the Mexican side of the institutions I know there...,Challenges
12,ID8,Lack of Interest - Mexico,humanities,1,M,not border state,1,Uh on the other hand from the Mexican side of the institutions I know there...,Challenges
13,ID8,Personal Relationships,humanities,1,M,not border state,1,"But I, I do have uh seen a lot of uh uh, lately I have seen a lot people co...",Peer-to-Peer
14,ID8,Institutional Context,humanities,1,M,not border state,1,Right. Well particularity at the University of Richmond I don’t think that ...,Institutional Context
15,ID8,Successful Funding,humanities,1,M,not border state,1,Right. Well particularity at the University of Richmond I don’t think that ...,Presence of Funding
16,ID8,Institutional Successes,humanities,1,M,not border state,1,Right. Well particularity at the University of Richmond I don’t think that ...,Institution-to-Institution
17,ID8,Funding Difficulties,humanities,1,M,not border state,1,But the funding support for the arts is not great in Mexico and I can say t...,Presence of Funding
18,ID8,Funding Difficulties,humanities,1,M,not border state,1,"So again all of this embodied uh artists, some were funded some were not fu...",Presence of Funding
19,ID8,Institutional Successes,humanities,1,M,not border state,1,I’m wondering if these collaborations in your experiences or in your percep...,Institution-to-Institution
20,ID8,Successful Funding,humanities,1,M,not border state,1,I’m wondering if these collaborations in your experiences or in your percep...,Presence of Funding
21,ID8,Funding Difficulties,humanities,1,M,not border state,1,I’m wondering if these collaborations in your experiences or in your percep...,Presence of Funding
22,ID8,Funding Difficulties,humanities,1,M,not border state,1,"Again, maybe because of the proximity which lends itself to simplify some o...",Presence of Funding
23,ID8,Successful Funding,humanities,1,M,not border state,1,"Again, maybe because of the proximity which lends itself to simplify some o...",Presence of Funding
24,ID8,Institutional Context,humanities,1,M,not border state,1,"I find that, well again just speaking from my very own experiences and the ...",Institutional Context
25,ID8,Institutional Challenges (Pre),humanities,1,M,not border state,1,"I find that, well again just speaking from my very own experiences and the ...",Sociocultural and Political Context
26,ID8,Disciplinary Culture,humanities,1,M,not border state,1,"I find that, well again just speaking from my very own experiences and the ...",Disciplinary
27,ID8,Collaboration Examples,humanities,1,M,not border state,1,"I find that, well again just speaking from my very own experiences and the ...",Definition of Collaboration
28,ID8,Political/Legal Challenges,humanities,1,M,not border state,1,"Yeah no that’s fine, I just think that this is something we mentioned befor...",Challenges
1,ID2,Disciplinary Culture,science and engineering,1,M,not border state,0,"Okay. Well, there are various avenues. Me myself disciplines their research...",Disciplinary
2,ID2,Job Opportunity,science and engineering,1,M,not border state,0,"Ok. Yes, so basically after my PhD and post-doc, I began working in Brazil ...",Peer-to-Peer
3,ID2,Institutional Successes,science and engineering,1,M,not border state,0,"However, really 
developing a physical space in Northwest of Mexico and Sou...",Institution-to-Institution
