"Percent.of.adults.with.less.than.a.high.school.diploma..2014.18","Percent.of.adults.with.a.high.school.diploma.only..2014.18","Percent.of.adults.completing.some.college.or.associate.s.degree..2014.18","Percent.of.adults.with.a.bachelor.s.degree.or.higher..2014.18","GEOID","Unemployment_rate_2018","Med_HH_Income_Percent_of_State_Total_2018","MEDHHINC_2018","PCTPOVALL_2018","PCTPOV017_2018","PCTPOV517_2018","POP_ESTIMATE_2018","N_POP_CHG_2018","R_birth_2018","R_death_2018","R_INTERNATIONAL_MIG_2018","R_DOMESTIC_MIG_2018","R_NET_MIG_2018","PCT_POP_CHG_2018","cases","deaths","prop_cases","prop_deaths","deaths_cases","STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","NAME","LSAD","ALAND","AWATER","lon","lat","text"
7.3,24.1,27.3,41.3,"36001",3.7,95.4,64536,11.3,15.3,15.2,306585,-1132,9.8,9.2,2.1,-6.5,-4.3,-0.369228762007274,2029,157,6.61806676778055,0.512092894303374,7.73780187284377,"36","001","00974099","0500000US36001","Albany","06","1354120790","27124553",-73.9735554210184,42.600176751602,"Albany:157/2029="
10,36.7,33.1,20.2,"36003",5.6,68.4,46262,17,22.8,20.8,46332,-307,9.9,9.7,0.7,-7.6,-6.9,-0.662608995942329,55,1,1.18708452041785,0.0215833549166882,1.81818181818182,"36","003","00974100","0500000US36003","Allegany","06","2666029673","12999275",-78.0275816164809,42.2574017233247,"Allegany:1/55="
28,27.6,24.5,19.8,"36005",5.8,57,38566,27.3,37.6,36.5,1432087,-8538,14,7.4,8,-20.6,-12.6,-0.596192829066949,,,,,,"36","005","00974101","0500000US36005","Bronx","06","108908944","39688554",-73.8664910594454,40.8500063990235,"Bronx:NA/NA="
9.5,31.1,31.1,28.3,"36007",4.9,75.3,50928,17.3,23.9,22.7,191925,-1175,10.1,10.7,1.6,-7.1,-5.4,-0.612218314445747,657,59,3.4232121922626,0.307411749381269,8.98021308980213,"36","007","00974102","0500000US36007","Broome","06","1828055107","25117478",-75.8196199806195,42.1602493654258,"Broome:59/657="
11.5,39.4,30,19.1,"36009",5.3,71,48017,17.1,24.4,22.5,76726,-450,10.3,11,0.1,-5.3,-5.2,-0.586502619711701,109,5,1.42063967885723,0.0651669577457446,4.58715596330275,"36","009","00974103","0500000US36009","Cattaraugus","06","3388616853","36624888",-78.6788476528953,42.2486003619538,"Cattaraugus:5/109="
12.3,33,32.4,22.3,"36011",4.5,78.3,52945,13,17.6,16.7,77121,-336,9.8,9.5,0.6,-5.2,-4.6,-0.435678997938305,106,1,1.3744635054006,0.0129666368434019,0.943396226415094,"36","011","00974104","0500000US36011","Cayuga","06","1791190506","445708165",-76.5545063864435,42.9174980048009,"Cayuga:1/106="
11.1,35.9,31.3,21.7,"36013",5,67.5,45689,18.3,27,24.7,127472,-900,10.2,11.6,1.7,-7.4,-5.7,-0.706037404292707,108,4,0.847244885151249,0.031379440190787,3.7037037037037,"36","013","00974105","0500000US36013","Chautauqua","06","2745967842","1139487496",-79.3663426488305,42.2281648974838,"Chautauqua:4/108="
9.7,36,30.5,23.9,"36015",4.6,77.7,52565,13.5,20,18,83935,-801,10.3,11.5,0.3,-8.6,-8.3,-0.954309882647287,138,5,1.64412938583428,0.0595699052838506,3.6231884057971,"36","015","00974106","0500000US36015","Chemung","06","1055036193","8876788",-76.7600395919103,42.1412625238966,"Chemung:5/138="
11.8,39,30.8,18.3,"36017",4.7,74.4,50312,15.1,22.3,20.2,47445,-360,9.4,11.8,0,-5.1,-5.2,-0.758773316471704,139,3,2.92970808304352,0.0632311097059753,2.15827338129496,"36","017","00974107","0500000US36017","Chenango","06","2314393899","13046917",-75.611591638402,42.4935047788483,"Chenango:3/139="
12.1,37.3,27.7,22.9,"36019",4.4,82.1,55517,13.2,16.9,16.1,80679,148,9.6,8.8,0.7,0.3,1.1,0.183443027305743,99,4,1.22708511508571,0.0495791965691196,4.04040404040404,"36","019","00974108","0500000US36019","Clinton","06","2687771456","206611031",-73.6781657781079,44.7461821254593,"Clinton:4/99="
9.6,30.5,28.6,31.3,"36021",3.3,96,64916,11.7,16.4,13.9,59785,-553,8.5,11.7,0.7,-6.7,-5.9,-0.924981182570879,442,43,7.39315881910178,0.719243957514427,9.72850678733032,"36","021","00974109","0500000US36021","Columbia","06","1643770743","35071400",-73.6317967849152,42.2500810645251,"Columbia:43/442="
