"ID_cat","code_cat","ID_num","code_num","code_fam","field_cat","colab_num","gender_cat","woman_num","border_cat","seek_num","code_quote"
"ID33","Collaboration Examples",8,27,"Definition of Collaboration","social science",1,"M",0,"border state",0,"Okay. General collaboration means engaging in a conversation, in a dialog, to understand each other needs and interest, and then finding the way to go get to a point where the needs and interests of all the parties are met. It is a process where you communicate and negotiate, and develop some consensus about what is best for all the parties.
Francisco:
That's a pretty general definition, but that's the way I understand it. It's an iterative process. I mean, it's hard to get to that point at the first attempt, so you have to go back and forth until you feel comfortable to engage in collaboration with someone else."
"ID33","Personality/Status Conflict",8,46,"Peer-to-Peer","social science",1,"M",0,"border state",0,"Then if you're in the weak part of the collaboration, you have to work a little bit extra, struggle to find the point at which your interests and needs can be satisfied collaboration."
"ID33","Prior Collaboration Experience",8,48,"Academic Trajectory","social science",1,"M",0,"border state",0,"Well, I mean that's the idea that I normally use when I pursue any collaboration with someone, but it is not the usual way. I mean, being here on the US-Mexico border where there are so many [inaudible] in services and power, normally collaboration start in a different point is many times, very often is like something that is kind of imposed on you by someone that has more [inaudible] power."
"ID33","Prior Collaboration Experience",8,48,"Academic Trajectory","social science",1,"M",0,"border state",0,"At the end of the day, the collaboration is not as symmetrical, or even is kind of you are in the lower side of the relationship. But anyway, you engage because there is something for you on that relationship."
"ID33","Collaboration Examples",8,27,"Definition of Collaboration","social science",1,"M",0,"border state",0,"So in comparison to your solo projects or your solo initiatives, what would you say that is the key characteristic that differentiates solo projects versus collaborative projects?
Francisco:
Oh, well, I mean for me is ... How do I say it? There is this complementarity. I mean, there are things that you cannot do by yourself, that you need the expert needs, the resources, understanding, the relationship with someone else. Then you find someone that can provide all those things, and then you engage in collaboration.
Francisco:
Normally those are larger projects, the ones that you can do by yourself, alone. Normally in this particular context, which I do most of my collaboration, they are also more complex projects. Also, projects that have a different vision of all the things that you want to accomplish.
Francisco:
I mean, I can do a lot of the things that I do collaborate in by myself. I think so, but everything will be harder for me to accomplish the things I'm pursuing if I didn't have the support of my colleagues in Mexico now."
"ID33","Collaboration Examples",8,27,"Definition of Collaboration","social science",1,"M",0,"border state",0,"How did you meet your Mexican colleagues?
Francisco:
Okay. Well, there are many circumstances. I mean, I'll give you an example. I'm working right now on a project that is looking at issues of innovation in the US-Mexico border. The focus is Arizona and Sonora. We wanted to know, for example, how ... How do you say that in English? How pervasive, how generalized is the idea of innovation in universities and in the region on both sides of the border?
Francisco:
So that required doing interviews with researchers and students; we had the students and some people in government on both sides of the border. Because I am bilingual I can go and talk to people in the US and in Mexico, but it's easier for me, for example, to ask one of my colleagues, that I work with them for a long time, to help me in that project.
Francisco:
They will, for example, give me access to people that I normally won't have access in government, because even when I am Mexican, I am representing a US university. So I don't have the [inaudible 00:09:10], I don't have the presence, I don't have the connection that my colleagues from Mexico have. So, I can still do the interviews on the Mexican side, but as I said, it is going to be harder.
Francisco:
These are examples of a project I'm doing in collaboration with colleagues in Mexico, with which I collaborated in the past. These are all relationships. But also because you are engaged in these bi-national projects, people identify you as someone that can be the partner for Mexicans wanting to do something in the US. So you start developing new connections with [inaudible] as you work.
Francisco:
That's happened to me, for example, recently when someone approached me because they want to study the attitudes of residents of Arizona toward migration, and in general the perception of the way the Mexican government is handling border issues. It's old, and it's new, but anyway, it's connected with the work that we do."
"ID33","Personal Relationships",8,45,"Peer-to-Peer","social science",1,"M",0,"border state",0," Because I am bilingual I can go and talk to people in the US and in Mexico, but it's easier for me, for example, to ask one of my colleagues, that I work with them for a long time, to help me in that project.
Francisco:
They will, for example, give me access to people that I normally won't have access in government, because even when I am Mexican, I am representing a US university. So I don't have the [inaudible 00:09:10], I don't have the presence, I don't have the connection that my colleagues from Mexico have. So, I can still do the interviews on the Mexican side, but as I said, it is going to be harder."
"ID33","Personal Relationships",8,45,"Peer-to-Peer","social science",1,"M",0,"border state",0,"These are examples of a project I'm doing in collaboration with colleagues in Mexico, with which I collaborated in the past. These are all relationships. But also because you are engaged in these bi-national projects, people identify you as someone that can be the partner for Mexicans wanting to do something in the US. So you start developing new connections with [inaudible] as you work.
Francisco:
That's happened to me, for example, recently when someone approached me because they want to study the attitudes of residents of Arizona toward migration, and in general the perception of the way the Mexican government is handling border issues. It's old, and it's new, but anyway, it's connected with the work that we do."
"ID33","Research Interest",8,51,"Academic Trajectory","social science",1,"M",0,"border state",0,"A variety of things. I mean, a variety of things. It's kind of crazy because as a result of your work on border, or as a person that is engaged in collaboration, a lot of people start coming to you looking for help or looking for support in many, many different things.
Francisco:
I'm working, for example, in a project looking at issues of accessibility to public parks in cities in the US and Mexico, and the impact of accessibility of parks on health behavior, exercise and physical activity. I'm working on this project on innovation. I'm working on a different project with colleagues in Brazil and in Venezuela, looking at issues of how border activity impact the function and the form of border towns in the Brazilian-Paraguay border, and the Colombia-Venezuela border, relative to what is happening in the US-Mexico border."
"ID33","Collaboration Examples",8,27,"Definition of Collaboration","social science",1,"M",0,"border state",0,"A variety of things. I mean, a variety of things. It's kind of crazy because as a result of your work on border, or as a person that is engaged in collaboration, a lot of people start coming to you looking for help or looking for support in many, many different things.
Francisco:
I'm working, for example, in a project looking at issues of accessibility to public parks in cities in the US and Mexico, and the impact of accessibility of parks on health behavior, exercise and physical activity. I'm working on this project on innovation. I'm working on a different project with colleagues in Brazil and in Venezuela, looking at issues of how border activity impact the function and the form of border towns in the Brazilian-Paraguay border, and the Colombia-Venezuela border, relative to what is happening in the US-Mexico border."
