"ID_cat","code_cat","code_theme","field_cat","collab_num","gender_cat","border_cat","seek_num","code_quote"
"ID33","Collaboration Examples","Definition of Collaboration","social science",1,"M","border state",0,"Okay. General collaboration means engaging in a conversation, in a dialog, ..."
"ID33","Personality/Status Conflict","Peer-to-Peer","social science",1,"M","border state",0,"Then if you're in the weak part of the collaboration, you have to work a li..."
"ID33","Prior Collaboration Experience","Academic Trajectory","social science",1,"M","border state",0,"Well, I mean that's the idea that I normally use when I pursue any collabor..."
"ID33","Prior Collaboration Experience","Academic Trajectory","social science",1,"M","border state",0,"At the end of the day, the collaboration is not as symmetrical, or even is ..."
"ID33","Collaboration Examples","Definition of Collaboration","social science",1,"M","border state",0,"So in comparison to your solo projects or your solo initiatives, what would..."
"ID33","Collaboration Examples","Definition of Collaboration","social science",1,"M","border state",0,"How did you meet your Mexican colleagues?
Francisco:
Okay. Well, there are ..."
"ID33","Personal Relationships","Peer-to-Peer","social science",1,"M","border state",0," Because I am bilingual I can go and talk to people in the US and in Mexico..."
"ID33","Personal Relationships","Peer-to-Peer","social science",1,"M","border state",0,"These are examples of a project I'm doing in collaboration with colleagues ..."
"ID33","Research Interest","Academic Trajectory","social science",1,"M","border state",0,"A variety of things. I mean, a variety of things. It's kind of crazy becaus..."
"ID33","Collaboration Examples","Definition of Collaboration","social science",1,"M","border state",0,"A variety of things. I mean, a variety of things. It's kind of crazy becaus..."
"ID33","Political/Legal Challenges","Challenges","social science",1,"M","border state",0,"So it's a lot of things that is really exciting, really interesting. Projec..."
"ID33","Research Interest","Academic Trajectory","social science",1,"M","border state",0,"It's a mix of things. Obviously is your own academic interests, which I mea..."
"ID33","Academic Meeting/Conference","Peer-to-Peer","social science",1,"M","border state",0,"It's a mix of things. Obviously is your own academic interests, which I mea..."
"ID33","Institutional Context","Institutional Context","social science",1,"M","border state",0,"So it's [inaudible 00:13:59], it's institutional. It's sometimes hard to di..."
"ID33","Collaboration Examples","Definition of Collaboration","social science",1,"M","border state",0,"It depends on the project. For example, one thing I've been doing in the la..."
"ID33","Key Quote",NA,"social science",1,"M","border state",0,"Sometimes people don't pay too much attention to you, but you have to insis..."
"ID33","Personal Relationships","Peer-to-Peer","social science",1,"M","border state",0,"Sometimes people don't pay too much attention to you, but you have to insis..."
"ID33","Institutional Context","Institutional Context","social science",1,"M","border state",0,"We were competing with all the universities. I mean, ASU is pretty much act..."
"ID33","Institutional Challenges (Pre)","Sociocultural and Political Context","social science",1,"M","border state",0,"We were competing with all the universities. I mean, ASU is pretty much act..."
