time,actor_ID,code_ID,text_code,roles,prin_inv,student
1,ID1,Team effort,believe can address shortage if working collectively,moderator,co_pi,not_student
2,ID1,Future faculty,our charge consists of expanding the representation on minority groups for future generations of faculty,moderator,co_pi,not_student
3,ID2,Why future?,is future a specific word? You don’t care about existing faculty?,expert,no_co_pi,not_student
4,ID1,Problem identification,"No, any faculty but we need to start idenditying who are going to start making the difference in the future.",moderator,co_pi,not_student
5,ID2,Why future?,"Why future, what about current new faculty, are they gonna be excluded?",expert,no_co_pi,not_student
6,ID1,Evidence-based,"We seek evidence-based practices, mentoring, that promote expansion of undergraduate minoritized STEM students…",moderator,co_pi,not_student
7,ID1,Future faculty,as such this effort is focused on near future faculty. ,moderator,co_pi,not_student
8,ID2,Why undergraduate?,"now, you mentioned undergraduate STEM minoritized students, why them and not graduate STEM students also?",expert,no_co_pi,not_student
9,ID1,Future faculty,we want undergraduates with stronger backgrounds because of good research practices. Start training future faculty.,moderator,co_pi,not_student
10,ID2,Graduates too?,"got it, so do you plan on expanding to graduates as well?",expert,no_co_pi,not_student
11,ID1,Graduates too?,we could put that on the table but as of now this effort and support arte targetting undergraduates,moderator,co_pi,not_student
12,ID3,Diversification,I think that if we need to diversify STEM and we must start at the undergraduate level.,expert,no_co_pi,not_student
13,ID3,Why undergraduate?,"at the graduate level, we have already lost most minoritized students in STEM",expert,no_co_pi,not_student
14,ID1,Advising,advising from an early stage is a form of cultivating identity toward academy. ,moderator,co_pi,not_student
15,ID3,Science identity,What do we do to cultivate a science identity?,expert,no_co_pi,not_student
16,ID3,Advising,"again, advising is key particularly at ealy stages of undergrad",expert,no_co_pi,not_student
17,ID1,Shared understanding,"exactly, thank you, we need to have a shared understanding of this issue",moderator,co_pi,not_student
18,ID1,Shared agenda,"with that undertanding, we may be more likely to have reach a shared agenda",moderator,co_pi,not_student
19,ID1,Shared metrics,"also, we need to come up with metrics to inform about progress toward goals and improvement cycles, initiated work within the shared agenda.",moderator,co_pi,not_student
20,ID4,Diversification,"I lead a vibrant effort to degree completion and STEM education, mathematics pathways between two and four year. relationships focused on diversifying stem faculty across the board",expert,no_co_pi,not_student
21,ID2,Hispanic growth,we ought to consider that Hispanics have quadrupled in different communities and gradautes are not onlty coming from HServing institutions.,expert,no_co_pi,not_student
22,ID2,Domestic culture,I believe that faculty from Asian or Russian background do not understand the local community and domestic culture,expert,no_co_pi,not_student
23,ID2,Some R1 are HSIs,one should also consider that some research intensive universities are now HS institutions,expert,no_co_pi,not_student
24,ID2,Fields & Disciplines," what about fields represented by single societies, major journals, collective responsibility in their disciplines.",expert,no_co_pi,not_student
25,ID3,Fields & Disciplines,"in biology, we are splitters rather than lumpers, we coalesce around the discipline. That is a major piece. Physics, your chair is complicated, openness about this notion, problem and be part of the solution.",expert,no_co_pi,not_student
26,ID2,Evidence-based,"Vision change is an awesome document. National task force for best practices in physics programs, improving teaching, mentoring, Nobel prize winning is a contributor. ",expert,no_co_pi,not_student
27,ID2,Diversification,"graduate chairs, bridge programs, how to improve diversity. Vision change is an awesome document. National task force for best practices in physics programs, improving teaching, mentoring, Nobel prize winning is a contributor. ",expert,no_co_pi,not_student
28,ID5,Fields & Disciplines,Culture of those departments and how much discipline is driving that decision making process.,expert,no_co_pi,not_student
29,ID2,Fields & Disciplines,Directors of graduate studies should be brought together. Cause they do not know what to do.,expert,no_co_pi,not_student
30,ID2,Team effort,"do these three things and it happens, that is a place in where us as a collective organization have an impact. OHIO state is our biggest champion. Other places try to do a Band-Aid approach.",expert,no_co_pi,not_student
31,ID2,Evidence-based,"univeristy X wants to do something that we know does not work, accordingly we say no, but they still do it themselves without success. They need to understand the larger space, to inform, being related to, stay focus on. ",expert,no_co_pi,not_student
32,ID2,Team effort,"teacher education, faculty level works best when it aligns with the provost level",expert,no_co_pi,not_student
33,ID3,Team effort,"we have them in separate entities, we do not think dean by himself can move the needle.",expert,no_co_pi,not_student
34,ID6,Team effort,"we need to get to people with tenure, decision makers, even at high school level to expose them to that community. Workshop HSIs, HBCUs, tribal colleges, Georgia tech, MIT.",expert,no_co_pi,not_student
35,ID6,Lower pay,"old tenured professors have been excellent teachers years ago, but now too focused on research. Nowadays, international, willing to take lower pays.",expert,no_co_pi,not_student
36,ID6,Domestic culture,"in going back to local communities, I completely agree in that these foregin nationals certainly don't know the local cultures.",expert,no_co_pi,not_student
37,ID2,Buy in,"although I recognize the importance of senior faculty, you cannot convert senior faculty to buy into this",expert,no_co_pi,not_student
38,ID6,Post-tenure review,we could do it forcefully through post-tenure review,expert,no_co_pi,not_student
39,ID2,Team effort,some seniors are willing to participate help move the needle. Others believe for example that GRE is the only test that work (lack of).,expert,no_co_pi,not_student
40,ID6,Willigness,those who come when you invite them are those willing to change.,expert,no_co_pi,not_student
41,ID2,Willigness,coalition of the eager. Not coalition to the willing.,expert,no_co_pi,not_student
42,ID2,Ineffective strategies,"We can also talk about ineffective strategies, we do not publish failures",expert,no_co_pi,not_student
43,ID3,Ineffective strategies,love idea of publishing ineffective strategies.,expert,no_co_pi,not_student
44,ID6,Mentoring,"integrate teaching into your research environment, plan for career success, establishing research agenda is very critical if you offer mentoring they are more likely to stay in that pipeline",expert,no_co_pi,not_student
45,ID6,Domestic culture,"community career perspective, is needed? Challenge, get the message across for international studnents",expert,no_co_pi,not_student
46,ID3,Domestic culture,I agree some of them are uncomfortable and do not have opportunities to engage? How do you deliberatively engage?  ,expert,no_co_pi,not_student
47,ID6,Mentoring,"summer research project, robotics, mentoring.",expert,no_co_pi,not_student
48,ID7,Diversification,"worked with physics society, teaching in a diverse environment, engage with people in different populations, grant funding to assess, future development in chemistry, biology, economics",expert,no_co_pi,not_student
